Species;Leaf out;Flowering;Fruiting ;Dispersal;Senescence ;Leaf fall
Epilobium alsinifolium;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Epilobium anagallidifolium;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Epilobium angustifolium;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Epilobium hornemannii;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Epilobium lactiflorum;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Erigeron borealis;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Erigeron humilis;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Erigeron sp.;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Eriophorum angustifolium ;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Erigeron uniflorus;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Eriophorum scheuchzeri;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Eriophorum vaginatum;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Euphrasia frigida;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Euphrasia stricta;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Euphrasia salisburgensis;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Festuca ovina;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Festuca rubra;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Festuca vivipara;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Festuca sp.;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Gentiana nivalis;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Gentianella tenella;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Geranium sylvaticum;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Geum rivale;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Gnaphalium norvegicum;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Gnaphalium supinum;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Gnaphalium sylvaticum;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Hieracium alpinum;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Hieracium hieracium;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Hieracium subalpina;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Hieracium sp.;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Hierochloe alpina;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Hierochloe odorata;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Juncus alpinoarticulatus;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Juncus biglumis;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Juncus trifidus;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Juncus triglumis;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Juniperus communis ;"0,A,B1,B2;C";K,f1,f2,f3,f4;uf, rd,rf;none;none;none
Leucanthemum vulgare;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Linnaea borealis;0, A, B1, B2, C;K, f1-f3, f4;uf;V, Vb;none;none
Listera cordata;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Loiseleuria procumbens;"0,A,B1,B2;C";K,f1,f2,f3,f4;uf;V,Vb;none;none
Luzula arcuata ;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Luzula confusa;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Luzula multiflora;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Luzula parviflora;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Luzula pilosa;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Luzula spicata;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Luzula sudetica;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Luzula wahlenbergii;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Luzula sp.;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Melampyrum pratense;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Melampyrum sylvaticum;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Milium effusum;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Minuartia biflora;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Minuartia stricta;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Moneses uniflora;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Myosotis decumbens;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Nardus stricta;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Orthilia secunda;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Oxyria digyna;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Paris quadrifolia;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Parnassia palustris;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Pedicularis hirsuta;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Pedicularis lapponica;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Petasites frigidus;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Phleum alpinum;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Phyllodoce caerulea;"0,A,B1,B2;C";K,f1,f2,f3,f4;uf;V,Vb;none;none
Pinguicula alpina;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Pinguicula vulgaris;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Pinus sylvestris;"0,A,B1,B2;C";K,f1,f2,f3,f4;uf;V,Vb;none;none
Poa alpina;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Poa annua;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Poa vivipara;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Poa arctica;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Poa glauca;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Poa nemoralis;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Poa pratensis;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Poa sp.;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Populus tremula;"0,A,B1,B2;C";K,f1,f2,f3,f4;uf;V,Vb;gd,g;L
Potentilla crantzii;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Pyrola minor;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Pyrola rotundifolia;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Ranunculus acris;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Ranunculus auricomus;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Ranunculus glacialis;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
