codes
Z
0
A
B1
B2
C
K
f1/b1
f2/b2
f3/b3
f4/b4
uf
rd
rf
V
Vb
vd
vt
gd
g/g1/g2/g3
rd
r1/r2/r3/r
L1/L2/L3/L4/L
